,geoid,countycode
205,1620000US0860160,[8123]
206,1620000US0860600,[8015]
207,1620000US0861315,[8009]
208,1620000US0862000,[8101]
209,1620000US0862660,[8041]
210,1620000US0862880,[8103]
211,1620000US0863045,[8123]
212,1620000US0863265,[8037]
213,1620000US0864090,[8033]
214,1620000US0864200,[8091]
215,1620000US0864255,[8045]
216,1620000US0864970,[8043]
217,1620000US0865190,[8089]
218,1620000US0865740,[8021]
219,1620000US0866895,[8101]
220,1620000US0867005,[8109]
221,1620000US0867280,[8015]
222,1620000US0867830,[8021]
223,1620000US0868105,[8023]
224,1620000US0868655,[8113]
225,1620000US0868930,[8115]
226,1620000US0869040,[8063]
227,1620000US0869150,[8123]
228,1620000US0869645,[8005]
229,1620000US0869700,[8061]
230,1620000US0870195,[8045]
231,1620000US0870250,[8027]
232,1620000US0870360,[8019]
233,1620000US0870525,[8117]
234,1620000US0870580,[8111]
235,1620000US0870635,[8039]
236,1620000US0871755,[8097]
237,1620000US0872395,[8105]
238,1620000US0873330,[8009]
239,1620000US0873715,[8071]
240,1620000US0873825,[8107]
241,1620000US0873935,[8075]
242,1620000US0874485,[8063]
243,1620000US0874815,[8025]
244,1620000US0875640,"[8013, 8059]"
245,1620000US0875970,[8089]
246,1620000US0876795,[8113]
247,1620000US0877290,"[8001, 8123]"
248,1620000US0877510,"[8069, 8123]"
249,1620000US0878610,[8071]
250,1620000US0879270,[8009]
251,1620000US0880040,[8037]
252,1620000US0880865,[8119]
253,1620000US0881030,[8009]
254,1620000US0881690,[8063]
255,1620000US0882130,[8057]
256,1620000US0882350,[8055]
257,1620000US0882460,[8009]
258,1620000US0882735,[8013]
259,1620000US0883230,[8069]
260,1620000US0883450,[8027]
261,1620000US0883835,"[8001, 8059]"
262,1620000US0884440,[8059]
263,1620000US0884770,[8087]
264,1620000US0885045,[8099]
265,1620000US0885155,[8043]
266,1620000US0885485,"[8069, 8123]"
267,1620000US0885705,[8049]
268,1620000US0886090,[8119]
269,1620000US0886310,[8125]
270,1620000US0886475,[8107]
271,1620000US0886750,[8125]
272,0550000US08001,[8001]
273,0550000US08003,[8003]
274,0550000US08005,[8005]
275,0550000US08007,[8007]
276,0550000US08009,[8009]
277,0550000US08011,[8011]
278,0550000US08013,[8013]
279,0550000US08015,[8015]
280,0550000US08017,[8017]
281,0550000US08019,[8019]
282,0550000US08021,[8021]
283,0550000US08023,[8023]
284,0550000US08025,[8025]
285,0550000US08027,[8027]
286,0550000US08029,[8029]
287,0550000US08033,[8033]
288,0550000US08035,[8035]
289,0550000US08037,[8037]
290,0550000US08039,[8039]
291,0550000US08041,[8041]
292,0550000US08043,[8043]
293,0550000US08045,[8045]
294,0550000US08047,[8047]
295,0550000US08049,[8049]
296,0550000US08051,[8051]
297,0550000US08053,[8053]
298,0550000US08055,[8055]
299,0550000US08057,[8057]
300,0550000US08059,[8059]
301,0550000US08061,[8061]
302,0550000US08063,[8063]
303,0550000US08065,[8065]
304,0550000US08067,[8067]
305,0550000US08069,[8069]
306,0550000US08071,[8071]
307,0550000US08073,[8073]
308,0550000US08075,[8075]
309,0550000US08077,[8077]
310,0550000US08079,[8079]
311,0550000US08081,[8081]
312,0550000US08083,[8083]
313,0550000US08085,[8085]
314,0550000US08087,[8087]
315,0550000US08089,[8089]
316,0550000US08091,[8091]
317,0550000US08093,[8093]
318,0550000US08095,[8095]
319,0550000US08097,[8097]
320,0550000US08099,[8099]
321,0550000US08101,[8101]
322,0550000US08103,[8103]
323,0550000US08105,[8105]
324,0550000US08107,[8107]
325,0550000US08109,[8109]
326,0550000US08111,[8111]
327,0550000US08113,[8113]
328,0550000US08115,[8115]
329,0550000US08117,[8117]
330,0550000US08119,[8119]
331,0550000US08121,[8121]
332,0550000US08123,[8123]
333,0550000US08125,[8125]
