geoid,geography_name,title,range_min,range_max,estimate,margin_of_error,proration_available_units
0550000US08005,Arapahoe County (Unincorporated),VALUE,50000,59999,114,-147,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,60000,69999,7,-178,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,70000,79999,69,-207,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,80000,89999,66,-192,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,90000,99999,16,-179,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,100000,124999,171,-172,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,125000,149999,94,-247,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,150000,174999,107,-250,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,175000,199999,417,-149,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,200000,249999,748,-491,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,250000,299999,982,-724,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,300000,399999,3524,-1207,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,400000,499999,5387,-1028,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,500000,749999,6946,-996,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,750000,999999,1740,-646,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,1000000,1499999,677,-579,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,1500000,1999999,270,-343,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,2000000,5252000,168,-399,0.3124799486685916
0550000US08007,Archuleta County (Unincorporated),VALUE,0,10000,11,6,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,10000,14999,0,7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,15000,19999,2,-10,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,20000,24999,9,-5,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,25000,29999,3,-7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,30000,34999,54,14,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,35000,39999,0,7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,40000,49999,10,3,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,50000,59999,48,17,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,60000,69999,0,7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,70000,79999,104,84,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,80000,89999,13,9,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,90000,99999,8,-2,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,100000,124999,62,35,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,125000,149999,112,70,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,150000,174999,106,38,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,175000,199999,85,21,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,200000,249999,340,94,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,250000,299999,473,147,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,300000,399999,830,163,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,400000,499999,638,192,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,500000,749999,524,116,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,750000,999999,285,91,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,1000000,1499999,122,75,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,1500000,1999999,56,28,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,2000000,5252000,12,-1,0.3194266700793448
0550000US08009,Baca County (Unincorporated),VALUE,0,10000,0,-46,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,10000,14999,13,-28,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,15000,19999,19,-43,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,20000,24999,11,-38,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,25000,29999,6,-32,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,30000,34999,8,-31,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,35000,39999,1,-65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,40000,49999,1,-45,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,50000,59999,10,-41,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,60000,69999,3,-56,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,70000,79999,14,-42,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,80000,89999,13,-32,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,90000,99999,0,-54,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,100000,124999,40,-56,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,125000,149999,26,-55,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,150000,174999,45,-38,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,175000,199999,2,-65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,200000,249999,58,-55,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,250000,299999,28,-39,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,300000,399999,94,-27,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,400000,499999,6,-59,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,500000,749999,32,-51,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,750000,999999,0,-65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,1000000,1499999,23,-61,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,1500000,1999999,0,-65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,2000000,5252000,5,-62,0.2336244541484716
0550000US08011,Bent County (Unincorporated),VALUE,0,10000,18,7,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,10000,14999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,15000,19999,12,1,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,20000,24999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,25000,29999,9,2,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,30000,34999,18,6,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,35000,39999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,40000,49999,4,1,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,50000,59999,40,9,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,60000,69999,18,8,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,70000,79999,20,14,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,80000,89999,68,34,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,90000,99999,13,2,0.18857142857142858
