,Year,Home Prices,Ownership Inflation,Ownership Inflation 2017 Base Year,Rental Inflation,Rental Inflation 2017 Base Year,CPI Values
0,2017,341224.2753656278,0.0,0.0,4.565137943636522,4.565137943636522,303.287
1,2018,368240.1684505528,7.9173420636550595,7.9173420636550595,4.29362287206509,9.054770622590912,316.309
2,2019,387249.5459578659,5.162222683988825,13.488275575622874,3.115624278790664,12.452507533287822,326.164
3,2020,410825.7726244734,6.088122481407031,20.397580794703536,1.6712451404814823,14.331864600787467,331.615
4,2021,473534.1054687484,15.263972472728806,38.77503438503851,1.1926481009604462,15.69544141274143,335.57
5,2022,541274.2719449576,14.305234975451992,58.62712914108257,8.576750007450013,25.61835019272805,364.351
